date,time(local time),altitude (m),longitude,latitude,tilt (deg),roll (deg),compass (deg),gyro-x (deg/s),gyro-y (deg/sec),gyro-z (deg/s),pressure (hPa),speed (m/s),acceleration (m/s)
21/11/2018,13:21.0,113.3000031,-75.69286973,45.38725801,2.0243,48.9001,143.1943,369.252167,-153.182602,94.747826,984.1605,3.827434,0.442418
21/11/2018,13:22.0,113.199997,-75.69288499,45.38722368,-4.8421,-46.7686,142.3524,-144.278259,273.739136,19.617392,984.1605,4.377885,0.550451
21/11/2018,13:23.0,113.199997,-75.69290024,45.38718553,17.0043,-42.5469,142.2335,-138.226089,-135.026093,198.191299,984.1605,4.979779,0.601895
21/11/2018,13:24.0,113.199997,-75.69290787,45.38714357,-42.1917,19.6933,143.1301,-21.843479,200.904343,42.782608,984.1322,5.53023,0.550451
21/11/2018,13:25.0,113.199997,-75.69290787,45.38709398,20.9223,-58.9492,143.2913,344,234.852173,75.617393,984.152,5.921205,0.390975
21/11/2018,13:26.0,113.1000061,-75.69290024,45.38703676,-28.2499,29.7814,142.8439,412.521729,72.765221,119.582611,984.152,6.337901,0.416696
21/11/2018,13:27.0,113.1000061,-75.69288499,45.38697953,2.0459,49.6055,142.1136,173.217392,350.469574,120.208694,984.152,6.656853,0.318953
21/11/2018,13:28.0,113.1000061,-75.69286973,45.38691469,-35.0208,-130.703,141.9702,124.104347,106.921738,-142.747833,984.106,6.950085,0.293231
21/11/2018,13:29.0,113,-75.69285447,45.38685746,-31.4494,122.0005,148.0824,-65.04348,-213.426086,-96,984.106,7.212449,0.262365
21/11/2018,13:30.0,113,-75.69283158,45.38679261,-34.6389,-170.8948,148.2927,-346.295654,-40.278259,-49.599998,984.106,7.222738,0.010289
21/11/2018,13:31.0,113,-75.69280106,45.38672776,-14.5424,33.81,148.2498,-52.173912,25.669565,146.365219,984.106,6.924362,-0.298375
21/11/2018,13:32.0,113,-75.69279343,45.38667054,15.1691,-43.8406,146.7551,-48.556522,-252.17392,-115.060867,984.1407,6.564255,-0.360108
21/11/2018,13:33.0,112.8999939,-75.69277817,45.38661332,-38.0057,-35.1251,145.3405,331.96521,-363.89566,-46.400002,984.1576,6.121836,-0.442419
21/11/2018,13:34.0,112.8999939,-75.69276292,45.38655992,-21.5728,45.3138,143.9149,416.695648,240.278259,-100.939133,984.1576,5.838894,-0.282942
21/11/2018,13:35.0,113,-75.69274766,45.38651033,-12.6047,-67.1592,143.5691,148.104355,-107.408699,-67.408699,984.1772,5.730862,-0.108032
21/11/2018,13:36.0,113.1000061,-75.6927324,45.38646074,-16.432,72.3356,142.9508,-342.121735,128,35.686958,984.1464,5.736006,0.005144
21/11/2018,13:37.0,113.199997,-75.69271714,45.38641115,-19.2182,165.2499,142.8341,68.869568,-185.739136,-125.773911,984.1709,5.70514,-0.030866
21/11/2018,13:38.0,113.199997,-75.69270188,45.38636155,-12.0218,-47.2246,142.5998,146.782608,-173.773911,-61.078262,984.1874,5.694851,-0.010289
21/11/2018,13:39.0,113.3999939,-75.69267136,45.38631578,-10.6478,44.0759,141.2876,372.660858,-231.513046,-72.208694,984.1768,5.802883,0.108032
21/11/2018,13:40.0,113.5,-75.69264847,45.38626619,18.6571,54.9153,139.9968,-45.565216,-59.826088,51.47826,984.2001,5.885193,0.08231
21/11/2018,13:41.0,113.6000061,-75.69263322,45.38620897,9.8993,-121.4365,138.9585,-14.052174,-256.973907,65.530434,984.2001,6.065248,0.180054
21/11/2018,13:42.0,113.8000031,-75.69261033,45.38615175,8.5928,8.0382,138.2597,-43.756523,134.539124,38.678261,984.1506,6.368767,0.30352
21/11/2018,13:43.0,113.8999939,-75.69258744,45.38609453,-8.6458,-99.9942,136.4265,-142.05217,-230.747833,-1.947826,984.1945,6.764886,0.396119
21/11/2018,13:44.0,114,-75.69255692,45.38602968,-25.7087,36.1435,135.7619,157.982605,-58.713043,-31.234783,984.1301,7.006673,0.241787
21/11/2018,13:45.0,114.1000061,-75.69253403,45.38597245,19.3479,41.8994,135,91.895653,289.808685,179.547821,984.1301,7.181582,0.17491
21/11/2018,13:46.0,114.199997,-75.69250352,45.3859076,-27.1833,144.9839,132.4782,-31.095652,-133.773911,0.973913,984.1301,7.490247,0.308664
21/11/2018,13:47.0,114.199997,-75.692473,45.38584276,-19.7654,123.234,131.651,-206.886963,-533.982605,-67.060867,984.1301,7.814343,0.324097
21/11/2018,13:48.0,114.199997,-75.69242722,45.38577791,-7.8313,76.7207,129.6698,251.199997,-30.886957,205.91304,984.1287,8.112719,0.298376
21/11/2018,13:49.0,114.199997,-75.69238907,45.38570543,3.7228,34.5289,124.1375,585.599976,-413.356537,62.191303,984.1287,8.483115,0.370396
21/11/2018,13:50.0,114.199997,-75.69235093,45.38563676,-64.3991,170.1998,128.7922,-299.130432,-189.843475,102.95652,984.1287,8.817501,0.334386
21/11/2018,13:51.0,114.3000031,-75.69229752,45.38557191,-0.4278,-47.7821,132.3507,-3.686956,-184.834778,-226.991302,984.1287,6.68772,-2.129781
21/11/2018,13:52.0,114.3000031,-75.69224412,45.38553376,-26.4234,57.9192,131.7995,-327.165222,-4.034782,94.469566,984.1287,6.116692,-0.571028
21/11/2018,13:53.0,114.5,-75.69218308,45.38548417,16.6567,59.1188,131.3729,347.617401,-187.408691,-126.260872,984.1287,6.939795,0.823104
21/11/2018,13:54.0,114.6000061,-75.6921373,45.38543458,-18.2352,-59.2811,130.883,-64.278259,-57.530434,5.843478,984.181,7.629145,0.68935
21/11/2018,13:55.0,114.6000061,-75.6920839,45.38537736,-58.8767,-26.4629,128.7558,125.91304,63.026089,72.695656,984.181,8.189885,0.56074
21/11/2018,13:56.0,114.699997,-75.69202286,45.38531251,16.4638,41.2595,130.486,-48.417393,169.530441,191.86087,984.159,8.632304,0.442419
